query,intent
Inform about travel for debit,travel_notification
Email business tax records,tax_document_request
Show checking transfer boundaries,account_transfer_limits
Change checking account nickname,account_nickname
Restrict my credit card,block_card
Show my debit rewards balance,card_rewards
Get info on checking business account,business_account_inquiry
Reset PIN for my mastercard,pin_reset
Get mastercard expiration status,card_expiration
Provide mastercard rewards details,card_rewards
Enable direct deposit to my business,direct_deposit
Settle my debit payment,payment
Appeal a business billing issue,dispute_charge
Enable direct deposit to my business,direct_deposit
Up my mastercard credit ceiling,credit_limit_increase
List savings transfer constraints,account_transfer_limits
Activate overdraft on checking,overdraft_protection
Pay off my phone,bill_payment
Set overdraft for joint,overdraft_protection
Question a joint transaction,dispute_charge
Send me savings checks,check_order
What’s the expiry of my mastercard?,card_expiration
Create a new visa PIN,pin_reset
Set up my new visa,card_activation
Add a savings goal to my business,savings_goal
Tell me my savings amount,balance
Set up checking overdraft protection,overdraft_protection
Review my joint transaction log,transaction_history
Flag a personal charge error,dispute_charge
Get a new credit card,replace_card
Send $100 to brother,transfer
Send my joint statement,account_statement
Show my credit score report,credit_score_check
Terminate my business profile,close_account
Set up direct deposit for checking,direct_deposit
Provide checking investment details,investment_options
Provide home mortgage details,mortgage_inquiry
Lock my debit immediately,block_card
Reset my debit PIN,pin_reset
See my letter status details,letter_status
Freeze my personal account,account_freeze
Explain personal business account features,business_account_inquiry
Set savings nickname,account_nickname
Get my credit score information,credit_score_check
Email savings tax records,tax_document_request
Report fraud on my personal,fraud_report
What are home mortgage rates?,mortgage_inquiry
Where is the nearest bank branch?,branch_locator
Modify my visa PIN number,pin_reset
Set up joint savings objective,savings_goal
Set a balance alert for joint,account_balance_alert
Close my business account,close_account
Set my business for direct deposit,direct_deposit
View my checking statement,account_statement
Register travel for my visa,travel_notification
Update checking with a nickname,account_nickname
Execute a savings wire transfer,wire_transfer
Cancel a pending business payment,stop_payment
Flag a business scam transaction,fraud_report
End my savings account,close_account
Replace my lost mastercard,replace_card
Modify my debit PIN number,pin_reset
What’s the status of my checking business?,business_account_inquiry
Share business mortgage information,mortgage_inquiry
Change my contact,update_info
Change my contact contact info,update_info
Check my recent personal transactions,transaction_history
Review my credit score status,credit_score_check
Set up a joint joint account,joint_account
Shut down my checking,close_account
Initiate a new business account,open_account
Create a phone recurring payment,recurring_payment
Confirm my joint setup,account_verification
Begin a personal banking account,open_account
Clear my visa balance,payment
Track my letter delivery,letter_status
Cancel a business transaction,stop_payment
Set a savings goal for my savings,savings_goal
Get cash of one hundred dollars from personal ATM,atm_withdrawal
I want to borrow for a business,loan_application
View my joint transaction details,transaction_history
Update on my letter request,letter_status
Clear my electricity dues,bill_payment
Cancel my checking account,close_account
Enable savings online banking,mobile_banking
End my personal account,close_account
Set up checking savings objective,savings_goal
Guide me with my login problem,customer_support
Raise my debit credit limit,credit_limit_increase
What are my recent checking charges?,transaction_history
Activate recurring internet payment,recurring_payment
Email business tax records,tax_document_request
Order checks for my business,check_order
Cancel a savings transaction,stop_payment
Tell me my personal amount,balance
Flag fraudulent personal activity,fraud_report
Update business with a nickname,account_nickname
Set internet payment to recur,recurring_payment
ATM withdrawal of one hundred dollars from checking,atm_withdrawal
Activate my mastercard for use,card_activation
Provide checks for business,check_order
Inform about travel for mastercard,travel_notification
Process a checking wire transfer,wire_transfer
Track business balance with alerts,account_balance_alert
Send payment for internet,bill_payment
Email my savings statement,account_statement
Apply for a car loan,loan_application
Turn on checking overdraft,overdraft_protection
Check my letter status,letter_status
Show my business total,balance
Check personal account fees,fee_inquiry
Cover my electricity charges,bill_payment
Set a travel notification for my mastercard,travel_notification
Block a personal payment,stop_payment
Open an account for savings,open_account
Expand my credit credit,credit_limit_increase
Clear my phone dues,bill_payment
What fees apply to personal?,fee_inquiry
Clear my credit balance,payment
Provide my business account statement,account_statement
Authenticate my personal,account_verification
Get fifty dollars from ATM using savings,atm_withdrawal
Request checks for my business,check_order
Modify my mastercard PIN number,pin_reset
Tell me about savings interest,interest_rates
Show my last business payments,transaction_history
Update on my letter request,letter_status
Monitor visa for block alerts,card_block_notification
Cancel a pending savings payment,stop_payment
Track credit block status,card_block_notification
Send payment for my credit,payment
Tell me my savings amount,balance
See my letter status details,letter_status
Link a joint owner to joint,joint_account
Wire one hundred dollars to sister,transfer
Inquire about my checking business account,business_account_inquiry
See my savings purchase history,transaction_history
Elevate my debit card limit,credit_limit_increase
Request a car loan,loan_application
Link a joint owner to business,joint_account
Add a electricity recurring payment,recurring_payment
Configure savings for direct deposit,direct_deposit
Clear my credit balance,payment
Provide my joint account statement,account_statement
Display my recent personal transfers,transaction_history
Confirm my debit expiration,card_expiration
Enable business overdraft feature,overdraft_protection
Clear my visa balance,payment
Give me ATM branch information,branch_locator
Appeal a joint billing issue,dispute_charge
Access my personal via app,mobile_banking
Support for my transaction issue,customer_support
Check savings investment choices,investment_options
Register for business mobile app,mobile_banking
Restrict my checking account,account_freeze
What’s the status of my letter?,letter_status
Check joint interest rates,interest_rates
List my debit rewards earnings,card_rewards
Stop payment for savings transaction,stop_payment
End my personal account,close_account
List my business account activity,transaction_history
Edit my mailing address on file,update_info
List my checking account activity,transaction_history
Adjust my email records,update_info
Enable savings balance alerts,account_balance_alert
What are the checking fees?,fee_inquiry
See my savings purchase history,transaction_history
Provide business transfer limit details,account_transfer_limits
Activate overdraft on checking,overdraft_protection
Execute a personal wire transfer,wire_transfer
Check my joint funds,balance
Block a business payment,stop_payment
Verify my savings account,account_verification
View my business transaction details,transaction_history
Alert me about credit block status,card_block_notification
Apply for a car loan,loan_application
Set overdraft for savings,overdraft_protection
Give me local bank branch information,branch_locator
Request a personal statement,account_statement
Change personal account nickname,account_nickname
Add direct deposit for savings,direct_deposit
Help me with my account,customer_support
Restrict my visa card,block_card
Alert me when joint balance changes,account_balance_alert
Update mastercard with travel plans,travel_notification
Create a internet recurring payment,recurring_payment
Tell me about personal charges,fee_inquiry
Secure my personal with a freeze,account_freeze
Notify me about savings balance,account_balance_alert
Set up personal mobile banking,mobile_banking
Set up a joint business account,joint_account
Explain joint investment opportunities,investment_options
Get a home loan,loan_application
Update business with a nickname,account_nickname
Provide personal fee details,fee_inquiry
Send me checking checks,check_order
Edit my contact on file,update_info
Explain savings rates,interest_rates
Issue checks for joint,check_order
Open an account for checking,open_account
Send one hundred dollars JPY overseas,transfer
Update business with a nickname,account_nickname
Check joint interest rates,interest_rates
Show GBP exchange details,foreign_exchange
What’s the JPY conversion rate?,foreign_exchange
List joint transfer constraints,account_transfer_limits
Terminate my checking profile,close_account
Suspend my personal account,account_freeze
Verify savings account info,account_verification
Open a new business account,open_account
Update my mailing address for the account,update_info
Confirm my letter’s progress,letter_status
Flag fraudulent joint activity,fraud_report
Question a personal transaction,dispute_charge
Explain business mortgage terms,mortgage_inquiry
Create a joint savings plan,savings_goal
Issue a replacement credit,replace_card
Locate a ATM branch,branch_locator
Up my debit credit ceiling,credit_limit_increase
Revise my contact details,update_info
Activate my debit for use,card_activation
Establish electricity recurring payment,recurring_payment
Send $200 JPY overseas,transfer
Inform about travel for mastercard,travel_notification
Update my phone number for the account,update_info
Check my personal funds,balance
Cancel a checking transaction,stop_payment
Enable direct deposit to my personal,direct_deposit
Wire fifty dollars to brother,transfer
Download my business statement,account_statement
Show personal investment plans,investment_options
Set up savings savings objective,savings_goal
Create a joint profile,open_account
Enable recurring internet payments,recurring_payment
Provide savings fee details,fee_inquiry
View my savings transaction details,transaction_history
Replace my lost visa,replace_card
Set up checking balance monitoring,account_balance_alert
Verify my credit score,credit_score_check
Locate a ATM branch,branch_locator
Check my mastercard expiration date,card_expiration
List personal transfer constraints,account_transfer_limits
Report an incorrect joint charge,dispute_charge
Deposit $50 to brother’s account,transfer
Change checking account nickname,account_nickname
What’s the expiry of my visa?,card_expiration
Activate my visa for use,card_activation
Clear my utility dues,bill_payment
Start a personal loan application,loan_application
What’s the expiry of my credit?,card_expiration
Provide joint transfer limit details,account_transfer_limits
Get my credit rewards information,card_rewards
Notify me about business balance,account_balance_alert
Issue checks for checking,check_order
Alert for business suspicious activity,fraud_report
Check details of joint business account,business_account_inquiry
What’s the expiry of my debit?,card_expiration
Set overdraft for business,overdraft_protection
Confirm my savings setup,account_verification
Authenticate my checking,account_verification
Cancel a personal transaction,stop_payment
Explain personal rates,interest_rates
Flag a joint scam transaction,fraud_report
Update my mailing address details,update_info
Set personal nickname,account_nickname
Tell me about savings interest,interest_rates
Stop my business account,close_account
Tell me about joint interest,interest_rates
Report fraud on my personal,fraud_report
Set up joint mobile banking,mobile_banking
List the savings fees,fee_inquiry
What are business mortgage rates?,mortgage_inquiry
Suspend my joint account,account_freeze
Set up a wire from business,wire_transfer
Tell me about savings interest,interest_rates
Close my checking account,close_account
Start a checking account,open_account
Activate my credit for use,card_activation
Tell me my current credit score,credit_score_check
Pull $100 from joint at ATM,atm_withdrawal
Create a personal savings plan,savings_goal
Wire fifty dollars from joint,wire_transfer
Dispute a joint transaction,dispute_charge
Verify my mastercard rewards status,card_rewards
Add a personal balance alert,account_balance_alert
Enable personal online banking,mobile_banking
Use my personal on mobile,mobile_banking
Start direct deposit to personal,direct_deposit
Send payment for electricity,bill_payment
Tell me about GBP exchange,foreign_exchange
Give me branch branch information,branch_locator
Order checks for my business,check_order
Halt a payment from my personal,stop_payment
Assist with my account concern,customer_support
Confirm my joint setup,account_verification
Flag a business scam transaction,fraud_report
Set up a recurring payment for internet,recurring_payment
Provide my savings account statement,account_statement
Stop my visa from being used,block_card
Convert JPY to dollars,foreign_exchange
Enable checking balance alerts,account_balance_alert
Set up a wire from checking,wire_transfer
Deposit $50 to friend’s account,transfer
Terminate my business profile,close_account
What’s the JPY conversion rate?,foreign_exchange
Check details of personal business account,business_account_inquiry
Register travel for my debit,travel_notification
Provide car mortgage details,mortgage_inquiry
What’s the expiry of my visa?,card_expiration
Share checking transfer limit info,account_transfer_limits
Stop my visa from being used,block_card
Use my business on mobile,mobile_banking
I need a new credit card,replace_card
Alert for checking suspicious activity,fraud_report
Enable overdraft for my joint,overdraft_protection
Plan a savings goal for joint,savings_goal
Set up direct deposit for business,direct_deposit
Extract one hundred dollars via ATM for joint,atm_withdrawal
Activate my credit for use,card_activation
Link a joint owner to business,joint_account
Withdraw $50 from ATM for business,atm_withdrawal
Apply for car financing,loan_application
I need assistance with my transaction,customer_support
Provide joint rate details,interest_rates
What’s the status of my letter?,letter_status
Process a phone bill payment,bill_payment
Pull $100 from joint at ATM,atm_withdrawal
View my savings statement,account_statement
What’s the balance for my personal?,balance
Extend my debit credit allowance,credit_limit_increase
What’s the EUR conversion rate?,foreign_exchange
Contest a savings charge,dispute_charge
Register travel for my debit,travel_notification
Make a visa payment,payment
Report a fraudulent personal charge,fraud_report
Take out one hundred dollars at ATM from joint,atm_withdrawal
Check my mastercard rewards,card_rewards
Alert for business suspicious activity,fraud_report
Cancel my checking account,close_account
Track my letter delivery,letter_status
Guide me with my transaction problem,customer_support
Add a joint owner to my business,joint_account
Start a personal loan application,loan_application
Get info on car mortgage,mortgage_inquiry
Cancel my lost debit,block_card
View my checking transaction details,transaction_history
Open a new business account,open_account
Block my mastercard card,block_card
Support for my login issue,customer_support
Resolve my transaction issue,customer_support
Flag a checking scam transaction,fraud_report
Cancel a checking transaction,stop_payment
Modify my mailing address information,update_info
Modify my debit PIN number,pin_reset
Create a joint balance notification,account_balance_alert
Set overdraft for business,overdraft_protection
Dispute a checking fee,dispute_charge
Enable business mobile services,mobile_banking
Dispute a checking transaction,dispute_charge
Set a balance alert for joint,account_balance_alert
Start direct deposit to business,direct_deposit
ATM withdrawal of fifty dollars from joint,atm_withdrawal
Report an incorrect personal charge,dispute_charge
Send payment for my debit,payment
Set up personal overdraft protection,overdraft_protection
Restrict my mastercard card,block_card
Change my credit PIN,pin_reset
Tell me about credit rewards,card_rewards
Initialize my visa card,card_activation
Request a checking statement,account_statement
Check business transfer restrictions,account_transfer_limits
Stop a check on my business,stop_payment
Inform about travel for debit,travel_notification
Issue checks for savings,check_order
Cancel my joint account,close_account
Secure my credit due to theft,block_card
Set a visa block notification,card_block_notification
Enable direct deposit to my business,direct_deposit
Request tax documents for joint,tax_document_request
What are my checking investment options?,investment_options
Process a savings wire transfer,wire_transfer
List the business fees,fee_inquiry
Block a checking payment,stop_payment
Provide debit expiry date,card_expiration
List personal transfer constraints,account_transfer_limits
Disable my stolen credit,block_card
Track visa block status,card_block_notification
Check my recent savings transactions,transaction_history
Create a joint joint profile,joint_account
Secure my debit due to theft,block_card
Alert me when checking balance changes,account_balance_alert
Issue business tax forms,tax_document_request
Set up a recurring payment for utility,recurring_payment
Stop payment for savings transaction,stop_payment
Verify mastercard expiration details,card_expiration
Edit my email on file,update_info
Prevent a savings payment,stop_payment
Clear my electricity dues,bill_payment
Get a checkbook for personal,check_order
Flag a checking charge error,dispute_charge
Change my email,update_info
Verify my credit score,credit_score_check
Provide GBP forex rates,foreign_exchange
Explain joint transfer rules,account_transfer_limits
Update savings with a nickname,account_nickname
Set business as joint account,joint_account
Tell me about personal mortgage options,mortgage_inquiry
Give me my joint status,balance
Set up a recurring payment for electricity,recurring_payment
Track my letter delivery,letter_status
Create a joint business profile,joint_account
Notify me if my credit is blocked,card_block_notification
Get credit expiration status,card_expiration
Establish a joint savings,joint_account
What are personal transfer limits?,account_transfer_limits
Open an account for business,open_account
Check savings account fees,fee_inquiry
Challenge a business payment,dispute_charge
Execute a joint wire transfer,wire_transfer
Link personal to direct deposit,direct_deposit
Enable savings overdraft feature,overdraft_protection
Modify my debit PIN number,pin_reset
Explain savings business account features,business_account_inquiry
Provide debit rewards details,card_rewards
Raise a personal fraud concern,fraud_report
Block my mastercard card,block_card
Give me my checking status,balance
What are the joint fees?,fee_inquiry
Provide business transfer limit details,account_transfer_limits
Share my joint transaction statement,account_statement
Freeze my business account,account_freeze
Schedule recurring electricity payments,recurring_payment
Add a joint owner to my joint,joint_account
Share checking investment info,investment_options
Suspend my checking account,account_freeze
Get my visa rewards information,card_rewards
Start a personal loan application,loan_application
Convert JPY to dollars,foreign_exchange
Elevate my credit card limit,credit_limit_increase
Share joint transfer limit info,account_transfer_limits
Update my visa PIN code,pin_reset
Flag fraudulent savings activity,fraud_report
Create a joint checking profile,joint_account
Check car mortgage availability,mortgage_inquiry
Provide visa expiry date,card_expiration
Tell me about bank branch addresses,branch_locator
Activate overdraft on business,overdraft_protection
I need assistance with my login,customer_support
What are EUR rates today?,foreign_exchange
Transfer $50 to my business,transfer
Verify my credit rewards status,card_rewards
What’s the balance for my business?,balance
Add a travel alert for my credit,travel_notification
Provide business fee details,fee_inquiry
Add a internet recurring payment,recurring_payment
Create a joint savings profile,joint_account
Where is the nearest ATM branch?,branch_locator
Enable joint overdraft feature,overdraft_protection
Convert USD to dollars,foreign_exchange
What are the business interest rates?,interest_rates
Alert bank about credit travel,travel_notification
Set visa travel notice,travel_notification
Apply for a home loan,loan_application
Check joint interest rates,interest_rates
Restrict my personal account,account_freeze
Share my savings transaction statement,account_statement
Display my recent checking transfers,transaction_history
Register travel for my visa,travel_notification
Give me JPY forex info,foreign_exchange
Show my credit score report,credit_score_check
Email my checking statement,account_statement
Show personal business account details,business_account_inquiry
Modify my mastercard PIN number,pin_reset
Explain joint transfer rules,account_transfer_limits
Get tax documents for my joint,tax_document_request
Validate my checking profile,account_verification
Open an account for personal,open_account
Show me branch branch locations,branch_locator
How much money is in my business?,balance
Notify about a joint fraud,fraud_report
Set a new credit PIN,pin_reset
Start direct deposit to business,direct_deposit
What are the business interest rates?,interest_rates
Pay my mastercard bill,payment
Stop a payment on my personal,stop_payment
Verify my business balance,balance
Block a personal payment,stop_payment
Show me local bank branch locations,branch_locator
Lock my credit immediately,block_card
Start a savings goal on personal,savings_goal
What are my savings investment options?,investment_options
Tell me my current credit score,credit_score_check
Add a joint owner to my savings,joint_account
Track my letter delivery,letter_status
Set joint as joint account,joint_account
Send a wire transfer to family,wire_transfer
Show my mastercard rewards balance,card_rewards
Guide me with my transaction problem,customer_support
What’s the status of my letter?,letter_status
Alert me when checking balance changes,account_balance_alert
Tell me about business interest,interest_rates
Verify my joint balance,balance
Activate my new mastercard,card_activation
Raise my visa credit limit,credit_limit_increase
Clear my phone dues,bill_payment
Set a balance alert for business,account_balance_alert
Challenge a business payment,dispute_charge
Give me my personal status,balance
Show mastercard expiry information,card_expiration
Check joint interest rates,interest_rates
Download joint tax documents,tax_document_request
What are my mastercard reward points?,card_rewards
Request a savings statement,account_statement
Pull one hundred dollars from checking at ATM,atm_withdrawal
Challenge a checking payment,dispute_charge
Activate joint mobile access,mobile_banking
Pay my utility bill,bill_payment
Get info on personal mortgage,mortgage_inquiry
Give me branch branch information,branch_locator
Set a mastercard block notification,card_block_notification
Execute a personal wire transfer,wire_transfer
Update my mastercard PIN code,pin_reset
Send payment for internet,bill_payment
What are my recent checking charges?,transaction_history
Download my business statement,account_statement
Process my visa monthly payment,payment
What’s the interest for personal?,interest_rates
Boost my credit spending limit,credit_limit_increase
Block a personal payment,stop_payment
Raise my debit credit limit,credit_limit_increase
Get a new visa card,replace_card
Freeze my savings account,account_freeze
Question a personal transaction,dispute_charge
Show my mastercard rewards balance,card_rewards
Show savings business account details,business_account_inquiry
Alert for joint suspicious activity,fraud_report
Assign a nickname to checking,account_nickname
Get my savings monthly statement,account_statement
Use my joint on mobile,mobile_banking
Flag a checking scam transaction,fraud_report
Renew my credit PIN,pin_reset
Provide visa rewards details,card_rewards
Show GBP exchange details,foreign_exchange
Issue a replacement visa,replace_card
Check personal transfer restrictions,account_transfer_limits
Check my letter status,letter_status
Replace my lost credit,replace_card
Process a utility bill payment,bill_payment
Get my credit score information,credit_score_check
Email my savings statement,account_statement
Cancel a checking transaction,stop_payment
I need assistance with my account,customer_support
Appeal a joint billing issue,dispute_charge
Halt a payment from my joint,stop_payment
Share savings transfer limit info,account_transfer_limits
Send me a new visa,replace_card
Explain joint fee structure,fee_inquiry
Activate recurring electricity payment,recurring_payment
Set up a recurring payment for utility,recurring_payment
Take out $200 at ATM from personal,atm_withdrawal
Revise my phone number details,update_info
Check checking account fees,fee_inquiry
Resolve my card issue,customer_support
Verify joint account info,account_verification
Set a nickname for my savings,account_nickname
Adjust my contact records,update_info
Set a savings goal for my business,savings_goal
Locate a bank branch,branch_locator
Check GBP exchange rates,foreign_exchange
Convert GBP to dollars,foreign_exchange
ATM withdrawal of $50 from checking,atm_withdrawal
What is my joint balance?,balance
Confirm my visa expiration,card_expiration
Create a joint profile,open_account
Flag a personal charge error,dispute_charge
Start a joint account,open_account
Create a savings balance notification,account_balance_alert
Show my personal total,balance
Download my personal statement,account_statement
Adjust my email records,update_info
Show my visa rewards balance,card_rewards
Order a replacement visa,replace_card
Apply for personal financing,loan_application
Get my credit score information,credit_score_check
List my joint account activity,transaction_history
Transfer $100 to my joint,transfer
Elevate my debit card limit,credit_limit_increase
Revise my email details,update_info
Extend my mastercard credit allowance,credit_limit_increase
Show checking investment plans,investment_options
Enable mastercard block alerts,card_block_notification
Tell me about my checking business profile,business_account_inquiry
Provide a new mastercard,replace_card
Request a personal loan,loan_application
Send debit block notifications,card_block_notification
Shut down my business,close_account
Verify my business account,account_verification
Verify savings account info,account_verification
Activate direct deposit on checking,direct_deposit
Link a joint owner to joint,joint_account
Process my credit monthly payment,payment
ATM withdrawal of one hundred dollars from personal,atm_withdrawal
Create a personal profile,open_account
Shut down my personal,close_account
Send me personal checks,check_order
Reset PIN for my credit,pin_reset
Cover my utility charges,bill_payment
Get new checks for personal,check_order
What are my credit reward points?,card_rewards
Send credit block notifications,card_block_notification
Set a nickname for my savings,account_nickname
Tell me my current credit score,credit_score_check
Stop my business account,close_account
Check joint investment choices,investment_options
Pay off my electricity,bill_payment
Provide savings rate details,interest_rates
Show my credit score report,credit_score_check
Provide car mortgage details,mortgage_inquiry
Turn on my visa card,card_activation
Verify my letter processing,letter_status
Set a credit block notification,card_block_notification
Turn on my visa card,card_activation
Include a co-owner for savings,joint_account
Withdraw $200 at ATM for personal,atm_withdrawal
Explain savings business account features,business_account_inquiry
Get fifty dollars from ATM using business,atm_withdrawal
Locate a bank branch,branch_locator
